"full_text","source"
"عاجل | رئيس الوزراء الأوكراني: نتوقع تلقي 3 مليارات يورو هذا الأسبوع من أصل الدعم الأوروبي لنا البالغ 18 مليار دولار","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | حاكم سيفاستوبول في القرم: قوات دفاعنا الجوي وأسطول البحر الأسود أسقطا 7 مسيرات أوكرانية فوق البحر حتى الآن","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن الكرملين: قصف دنيبرو جاء نتيجة لصواريخ الدفاع الجوي التي أطلقتها أوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: إمداد كييف بالدبابات لن يغير الوضع لكنه سيؤدي إلى إطالة معاناة الشعب الأوكراني","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: القوات الروسية لم تقصف مبنى سكنيا في دنيبرو","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الكرملين: الدبابات البريطانية التي سترسل إلى أوكرانيا ستحترق","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: سفن الإنقاذ التركية تتمكن من سحب السفينة التي جنحت في مضيق البوسفور صباح اليوم لتواصل طريقها","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزير المالية في حكومة النيل الأزرق: عودة 200 ألف لاجئ سوداني إلى الإقليم بعد نزوحهم بسبب النزاعات القبلية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | د.ب.أ: وزيرة الدفاع الألمانية كريستينه لامبرشت تعلن استقالتها من منصبها","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس مجلس السيادة بالسودان: نساند اتفاق السلام في النيل الأزرق لأنه أفضل ما يمكن تحقيقه لوقف النزاع القبلي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن مسؤول موال لروسيا في سيفاستوبول: الدفاع الجوي الروسي أسقط 3 مسيرات ويواصل صد الهجوم","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | نتنياهو: سنعمل على منع إيصال الأسلحة من #إيران إلى #سوريا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الخارجية الصينية: البيان الأمريكي الياباني يضخم التهديد النووي الصيني لاختلاق ذرائع لخفض قوتنا العسكرية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | المدير العام للوكالة الدولية للطاقة الذرية: الوكالة توسع وجودها في أوكرانيا لمنع وقوع حادث نووي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وكالة الأنباء الألمانية: الجيش الألماني بدأ في نقل أنظمة باتريوت للدفاع الجوي إلى بولندا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | السلطات الأوكرانية في خيرسون: مقتل 3 مدنيين وإصابة 14  في قصف روسي على المقاطعة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وسائل إعلام تركية: تعليق حركة السفن في مضيق البوسفور بسبب جنوح سفينة شحن قادمة من أوكرانيا باتجاه اسطنبول","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزارة الدفاع البيلاروسية: القوات الروسية والبيلاروسية تبدأ مناورات جوية مشتركة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: مقتل 3 أشخاص وإصابة 5 آخرين في هجوم بمنطقة هلجن بإقليم هيران وسط الصومال","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: إصابة فلسطيني بجراح خطيرة برصاص الاحتلال الإسرائيلي خلال اقتحام مخيم الدهيشة جنوب بيت لحم","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: إصابة فلسطينيين واعتقال 3 في عملية عسكرية إسرائيلية في بلدة قباطية جنوبي جنين","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | حاكم مدينة سيفاستوبول في شبه جزيرة القرم: منظومات الدفاع الجوي أسقطت طائرة مسيّرة فوق خليج المدينة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أ.ب عن رئيس هيئة الأركان الأمريكية المشتركة: التدريب القتالي الجديد والموسع للقوات الأوكرانية بدأ في ألمانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مركز رصد الزلازل اليورومتوسطي: زلزال بقوة 6,2 درجة على مقياس ريختر يضرب جزيرة سومطرة في إندونيسيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مجلس الأمن البيلاروسي: الوضع ليس هادئا على حدودنا الجنوبية ومستعدون لأي أعمال استفزازية من جانب أوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أردوغان: من المؤسف عدم إيقاف مظاهرات أنصار حزب العمال الكردستاني المتكررة في السويد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أردوغان: لم تسلمنا السويد وفنلندا ١٣٠ إرهابيا كما طلبنا كي نصدق على انضمامهما إلى النيتو","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أردوغان: إذا فشلت السويد في اتخاذ إجراءات إزاء حزب العمال الكردستاني قد يتصاعد التوتر في العلاقات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | بيان صحفي عسكري أردني: قوات المنطقة الجنوبية أحبطت اليوم محاولة تسلل أشخاص من جنسية أجنبية إلى دولة مجاورة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الأمين العام للنيتو: الحرب في أوكرانيا في مرحلة حاسمة ويجب إرسال الأسلحة التي تحقق لها النصر","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"الأمين العام للنيتو: سنزود أوكرانيا بمزيد من الأسلحة الثقيلة في وقت قريب","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"عاجل | مراسل #الجزيرة: اشتباكات بين فلسطينيين وقوة من الاحتلال الإسرائيلي في يعبد قرب جنين عقب اقتحام البلدة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن مصادر روسية: مقتل 3 وإصابة 13 في انفجار ذخيرة بمقاطعة بيلغورود قرب الحدود مع أوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | خدمة الطوارئ الروسية: إصابة 10 جنود في انفجار بمقاطعة بيلغورود قرب الحدود مع أوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: السلطات الأوكرانية تعلن حالة التأهب الجوي في مقاطعات دونيتسك ودنيبرو وبولتافا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | بوتين: وضع الاقتصاد الروسي مستقر وأفضل من التوقعات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | بوتين: العملية العسكرية الخاصة في أوكرانيا تسير بإيجابية وتتطور في إطار خطط وزارة الدفاع وهيئة الأركان","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الدفاع الروسية: قواتنا أحرزت تقدما باتجاه مدينة باخموت في أوكرانيا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | حيدري: طلبنا من روسيا أنظمة دفاع جوي وصواريخ ومروحيات وسنحصل عليها قريبا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | عضو لجنة الأمن القومي في البرلمان الإيراني شهريار حيدري: مقاتلات سوخوي 35 الروسية ستصلنا خلال أشهر قليلة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | هيئة الانتخابات في #تونس: الدور الثاني من الانتخابات التشريعية يجرى في 29 يناير 2023","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الأمين العام المساعد للاتحاد التونسي للشغل: نحذر من انتفاضة شعب أفقرته السياسات اللاوطنية للحكومات المتعاقبة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أ.ف.ب عن الشرطة في نيبال: ارتفاع حصيلة قتلى تحطم الطائرة في بوكارا إلى 67 قتيلا على الأقل","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | البيت الأبيض: الرئيس بايدن يعلن ولاية ألاباما منطقة كوارث كبرى بعد موجة فيضانات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | شركة يتي لخطوط الطيران: 15 أجنبيا بين ركاب الطائرة المنكوبة في نيبال","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | البرهان: نحذر السياسيين من الحديث في شؤون الجيش وعليهم العمل على إصلاح أحزابهم السياسية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس مجلس السيادة بالسودان عبدالفتاح البرهان: يجب ألا نسمح بتكرار أحداث العنف القبلي بالنيل الأزرق","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الأوكراني: البحرية الروسية استقدمت تعزيزات من سيفاستوبول في شبه جزيرة القرم إلى البحر الأسود","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الأوكراني: نستعد لهجمات روسية على نطاق واسع من البحر الأسود","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الأوكراني: روسيا عززت وجودها في البحر الأسود بـ5 حاملات صواريخ وغواصة واحدة خلال الساعات الماضية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الأوكراني: نرصد زيادة في عدد السفن الروسية التي وضعت في حالة تأهب قتالي على جبهة البحر الأسود","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أ.ف.ب عن مسؤول نيبالي: هناك عدد من الناجين في حادثة تحطم طائرة الركاب في بوخارا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مسؤول أفغاني للجزيرة: مسلحون مجهولون يغتالون النائبة السابقة مرسل نبي زادة في منزلها شرقي العاصمة كابل","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الإسرائيلي: مقتل جندي وإصابة 4 أحدهم بجروح خطيرة جراء انفجار ذخيرة في قاعدة عسكرية الليلة الماضية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الصحة الفلسطينية: استشهاد شاب بعد إصابته برصاص الاحتلال الإسرائيلي قرب بلدة سلواد شرقي رام الله","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | تلفزيون نيبال: رئيس الوزراء يعقد اجتماعا طارئا للحكومة في مطار تريبهوفان لمتابعة حادثة سقوط طائرة يتي إيرلاينز","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | سلطة الطيران في نيبال: انتشال 40 جثة من حطام طائرة الركاب المنكوبة في مدينة بوكارا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: قوات الاحتلال تطلق النار على فلسطيني بزعم محاولته طعن شخص قرب مستوطنة عوفرا شرق رام الله","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن الجيش النيبالي: مصرع 16 شخصا جراء تحطم طائرة ركاب في بوخارا غربي البلاد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | سلطات مقاطعة دنيبرو الأوكرانية: ارتفاع حصيلة ضحايا قصف روسي استهدف بناية سكنية السبت إلى 18 قتيلا و73 جريحا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وكالة الصحافة الفرنسية: تحطم طائرة على متنها 72 راكبا في نيبال","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وكالة الصحافة الفرنسية: الحكومة في بيرو تعلن حالة الطوارئ في العاصمة ليما","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز: بايدن يعلن كاليفورينا منطقة كوارث كبرى ويأمر بمساعدات فدرالية لمواجهة آثار الفيضانات بالمناطق المتضررة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن رئيسة مولدوفا: الحرب الروسية الوحشية على أوكرانيا تؤثر بشكل مباشر على مولدوفا مرة أخرى","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن رئيسة مولدوفا: شرطة الحدود تعثر على حطام صاروخ روسي بالقرب من قرية لارجا شمالي البلاد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن الهيئة الأوكرانية المعنية بملف الأسرى: روسيا ألغت في اللحظة الأخيرة أمس عملية تبادل مقررة لأسرى حرب","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مكتب رئيس وزراء بريطانيا: سنبدأ في تدريب القوات الأوكرانية على استخدام الدبابات والمدافع في الأيام المقبلة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مكتب رئيس الوزراء البريطاني: سنرسل ١٤ دبابة من طراز تشالنجر ٢ إلى أوكرانيا خلال الأسابيع المقبلة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئيس التونسي السابق #المنصف_المرزوقي للجزيرة: مظاهرات اليوم متفقة على أنها تريد نظاما ديمقراطيا وليس فرديا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | المنصف المرزوقي للجزيرة: مظاهرات ذكرى الثورة اليوم بينت توافقا على رفض الانقلاب والعودة إلى دستور الثورة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئيس التونسي السابق #المنصف_المرزوقي للجزيرة: قوى إقليمية ودولية عملت على إفشال الثورة التونسية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئيس التونسي السابق #المنصف_المرزوقي للجزيرة: الثورة التونسية ما زالت متواصلة والأمل موجود والثورة ستتجدد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئيس التونسي السابق #المنصف_المرزوقي للجزيرة: التونسيون أظهروا في هذه الذكرى أن الثورة ما زالت حية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الرئيس التونسي السابق #المنصف_المرزوقي للجزيرة: الثورة المضادة فشلت والقوى الثورية تعود مجددا","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وول ستريت جورنال عن مسؤول ألماني: سنتابع تعهدنا بإرسال دبابات قتالية لأوكرانيا إذا قام الحلفاء الغربيون ذلك","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | المتحدث باسم الرئاسة التركية: ندعم التوصل إلى وقف محدود لإطلاق النار في أوكرانيا في غياب اتفاق سلام شامل","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس جبهة الخلاص في #تونس للجزيرة: لا خروج من الأزمة في #تونس إلا عبر قيادة سياسية جديدة ومن خلال صندوق الاقتراع","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أحمد نجيب الشابي للجزيرة: تبين أن وعود الرئيس سعيد مجرد أوهام والدليل عزوف التونسيين عن الانتخابات الأخيرة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس جبهة الخلاص للجزيرة: الطيف السياسي في #تونس اليوم ولأول مرة التقى في الأهداف","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزير الخارجية البريطاني: ردنا على #إيران لن يقتصر على اليوم وندرس المزيد من الإجراءات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزير الخارجية البريطاني: سنسحب سفيرنا من #إيران مؤقتا لإجراء مزيد من المشاورات بعد إعدام علي رضا أكبري","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | سي إن إن عن مصادر: الوثائق التي عثر عليها في مكتب بايدن ضمت مذكرات استخبارية ومواد عن أوكرانيا وإيران","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | محامو الرئيس الأمريكي: تم العثور على وثائق سرية إضافية في بيت الرئيس بايدن في مدينة ويلمنغتون","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | إبراهيم قالين: المظاهرة التي شهدتها ستوكهولم ضد الرئيس #أردوغان ستؤدي لتأخير عضوية السويد في النيتو","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الناطق باسم الرئاسة التركية: الوضع الحالي لا يسمح بتصديق #تركيا عبر البرلمان على عضوية السويد في النيتو","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | شرطة لندن: إصابة 4 أشخاص في إطلاق نار وسط العاصمة البريطانية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رويترز عن مسؤولين أوكرانيين: ضربات روسية تستهدف منشآت بنى تحتية حيوية في خاركيف ولفيف","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رابطة حقوق الإنسان بتونس: الرئاسة لم ترد على مبادرة المنظمات الوطنية للإنقاذ رغم النداءات المستمرة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزير الخارجية البريطاني: فرضنا عقوبات على المدعي العام الإيراني بما يعكس اشمئزازنا من إعدام علي رضا أكبري","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | وزير الخارجية البريطاني: إعدام علي رضا أكبري يستحق الإدانة بكل العبارات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس الوزراء البريطاني: أصابني الذهول جراء إعدام المواطن البريطاني الإيراني علي رضا أكبري","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | القضاء الإيراني: إعدام علي رضا أكبري مساعد وزير الدفاع السابق بتهمة التجسس لصالح الاستخبارات البريطانية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | حاكم مقاطعة دونيتسك الأوكراني: مدينتا سوليدار وباخموت ما تزالان تحت سيطرة الجيش الأوكراني","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الجيش الأوكراني: دفاعاتنا تتصدى لهجوم روسي جديد في مقاطعات ميكولايف وأوديسا وزابورجيا ودنيبرو جنوبي البلاد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | عمدة ميكولايف الأوكرانية: دفاعاتنا الأرضية استهدفت صواريخ روسية في سماء المقاطعة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | عمدة ميكولايف الأوكرانية: نحذر من هجوم صاروخي روسي واسع وندعو السكان إلى توخي الحذر","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسل #الجزيرة: إعلان حالة التأهب الجوي في عموم مقاطعات الجنوب الأوكرانية وتحذيرات من هجوم روسي واسع","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: صافرات الإنذار تدوي في العاصمة الأوكرانية كييف بعد إعلان حالة الإنذار الجوي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الخارجية الإيرانية: استدعاء السفير البريطاني في #طهران احتجاجا على إجراءات مخربة وتهدد الأمن القومي الإيراني","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الحكومة البريطانية: سوناك يبلغ زيلنسكي في اتصال هاتفي بأن بريطانيا ستزود أوكرانيا بدبابات تشالنجر 2","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مسؤولون صينيون: إجمالي الوفيات المرتبطة بكورونا في المستشفيات بلغ نحو 60 ألفا بين 8 ديسمبر و12 يناير","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | الأمين العام لحزب العمال التونسي: ديكتاتورية قيس سعيّد ستسقط مثلما سقطت ديكتاتورية بن علي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أمين عام حزب العمال التونسي: ديكتاتورية قيس سعيّد ستسقط مثلما سقطت ديكتاتورية بن علي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | أمين عام حزب العمال التونسي: اللغة الوحيدة مع قيس سعيد هي لغة النضال والمقاومة لإسقاط منظومة الاستبداد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | زعيم حزب العمال التونسي: من يكمّم الأفواه سيكون مصيره السجن أو الهروب من البلاد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | زعيم حزب العمال التونسي: ديكتاتورية قيس سعيّد ستسقط مثلما سقطت ديكتاتورية بن علي","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس جبهة الخلاص الوطني في #تونس: ندعو الاتحاد العام للشغل للخروج من سقف 25 يوليو والالتحاق بأحرار البلاد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | تنسيقية الأحزاب الديمقراطية في #تونس: نرفض التضييق وندعو للنزول إلى شارع الثورة للتظاهر رغم ترهيب السلطة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | حزب العمال التونسي: ندعو شعبنا للخروج إلى الشوارع والتصدي لتوجهات سعيد المعادية للثورة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: قوات الأمن التونسية بمحيط وزارة الداخلية تمنع المتظاهرين من التقدم في شارع الحبيب بورقيبة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: متظاهرون يحتشدون عند حاجز أمني قرب وزارة الداخلية بشارع الحبيب بورقيبة في العاصمة التونسية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: متظاهرون يحتشدون عند حاجز أمني في شارع الحبيب بورقيبة بالعاصمة التونسية","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس رابطة حقوق الإنسان في #تونس: السلطات منعت وصول حافلة وقطار ركاب إلى العاصمة","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: محتجون يدخلون شارع الحبيب بورقيبة في العاصمة التونسية تحديا لقرار السلطات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | مراسلة #الجزيرة: مسيرة جبهة الخلاص الوطني التونسية المعارضة تدخل شارع الحبيب بورقيبة في تحد لقرار السلطات","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
"عاجل | رئيس جبهة الخلاص الوطني التونسية: خلاص بلادنا سيتحقق برحيل قيس سعيد","<a href=""http://www.aljazeera.net"" rel=""nofollow"">AJAEditorialApp</a>"
