"doc_id","text"
1,"عاجل | رئيس جبهة الخلاص الوطني في #تونس: ندعو لتشكيل حكومة إنقاذ وطني تجمع كلمة التونسيين"
175,"عاجل | وزير الخارجية السعودي: الشراكة الاستراتيجية #السعودية الصينية مهمة للغاية"
176,"عاجل | الأمين العام للنيتو: الحلف سيواصل دعم أوكرانيا ومدها بأنظمة دفاعية جوية إضافية"
177,"عاجل | الخارجية الأمريكية: نعارض أي عمل عسكري تركي في #سوريا من شأنه زعزعة الاستقرار وتقويض جهود محاربة تنظيم الدولة"
178,"عاجل | الخارجية الأردنية: استدعاء السفير الإسرائيلي للاحتجاج  على اقتحام وزير الأمن القومي الإسرائيلي المسجد الأقصى"
179,"عاجل | البرهان للجزيرة: انتظرنا عاما كاملا من أجل توافق القوى السياسية في #السودان ولم يحدث ذلك"
180,"عاجل | الدفاع الروسية: إسقاط 15 مسيرة أوكرانية خلال يوم واحد في دونيتسك ولوغانسك وزابوروجيا وخيرسون"
181,"عاجل | البيت الأبيض: لا دليل على أن تعطل نظام إشعارات الطيران سببه هجوم إلكتروني"
182,"عاجل | الرئيس الأوكراني: المدفعية التي نمتلكها ليست كافية لقواتنا التي تدافع عن مدينة باخموت"
183,"عاجل | بوتين: ما يحدث الآن مأساة للشعبين الروسي والأوكراني ليس بسبب روسيا وإنما بسبب سياسة الدول الأخرى"
184,"عاجل | مديرة صندوق النقد الدولي: هذه السنة ستكون أصعب من سابقتها لمعظم اقتصادات العالم"
185,"عاجل | حركة حماس: لن نسمح للاحتلال بتغيير المعادلات وسنواصل الدفاع عن أبناء شعبنا في كل أماكن وجوده"
186,"عاجل | البيت الأبيض: نعتقد أنه سيكون من الصعب على الصين احتواء كورونا من خلال استراتيجية ""صفر كوفيد"""
187,"عاجل | البرهان للجزيرة: لن نقف مع من يعمل على تدمير البلاد ونقف على مسافة واحدة مع من يخدم #السودان"
188,"عاجل | الخارجية الإيرانية: واشنطن والدول الغربية لها دور في أعمال الشغب في #إيران ولدينا معلومات دقيقة بشأن ذلك"
189,"عاجل | الخارجية الإيرانية: مستعدون لإنهاء المفاوضات النووية شريطة مراعاة خطوطنا الحمر واستعدادنا لذلك لن يبقى للأبد"
190,"عاجل | متحدث باسم القيادة الوسطى الأمريكية للجزيرة:  قوات #سوريا الديمقراطية تواصل تنفيذ الدوريات وحفظ الأمن"
191,"عاجل | رويترز عن وكالة يونهاب: كوريا الشمالية أطلقت صاروخا باليستيا باتجاه البحر شرقي شبه #الجزيرة الكورية"
192,"عاجل | وزير الخارجية السعودي: السعودية منفتحة على التعاون مع الجميع والتعاون مع الصين ضروري لتطوير نمونا و رفاهيتنا"
193,"عاجل | الخارجية الأوكرانية: إرسال طرود دموية لسفاراتنا وقنصلياتنا بدول بينها المجر وهولندا وبولندا وكرواتيا وإيطاليا"
194,"عاجل | رويترز: الولايات المتحدة ترحب بالاتفاق الإطاري للانتقال السياسي في #السودان"
