,tweet,label
2226,"see how   /hospital administration treat ""corona warriors "" ?! ..if this is d food for doctor's..what quality food they give to malnourished child's/health care to poor covid 19 patients .?!!",fake
1171,the dpp (democratic progressive party) politician wang shijian said taiwan has more than 500 confirmed cases.,fake
2148,new: in a sept. 15 interview fox  aired a conspiracy theory that has been debunked since the beginning of the coronavirus pandemic,fake
774,are just 99% of  covid-19 cases “totally harmless” as   said? no. even limited data on case death rate so far shows a rate four times higher. and then there are the people the virus sends to the hospital.,fake
4377,"joy arackal, 52 year's , owner of ( joy alukas ) the largest house in 
kerala (45000 sft) dies in the middle east due to corona virus...!",fake
3946,a video posted on facebook claiming that chloroquine and azithromycin are proven cures of covid-19,fake
2846,"a whatsapp message which claims that the italian government sent ""nas"" (a branch of the carabinieri) to close the department in charge of plamsa-related therapies at mantua hospital where ""they cure covid-19 in 48 hours"". the government would have done that in order to obtain ""bill gates' vaccine"".",fake
3755,today at 2:30pm et: join     and   on facebook live where they'll discuss covid-19 misinformation and answer your questions.,fake
3395,"???guess what, [children are] not at risk unless they have an underlying medical issue.??�",fake
4430,india has entered stage-3 of covid-19.,fake
5133,wuhan spelled backwards = nahuw (no way josé) coronavirus didn’t start here    coronavirus  richardnixon  napoleon,fake
5260,"after 16 hours of construction, the 1st building of huoshenshan hospital in  wuhan has completed on monday. the hospital is expected to be handed over to the military on feb 2 upon completion and put into use for  coronavirus patients",fake
1634,"a photograph of former united states president barack obama with a caption saying it was taken in a ""chinese laboratory in wuhan. barack obama anthony fauci and melinda gates visit the virus factory probably to check on the progress of coronavirus research.""",fake
5007,politically correct woman reluctantly admits that left kind of sucks right now    democrats  coronavirus  covid19,fake
3044,"illegal immigration is happening worldwide, engineered by all un member nations to distract attention away from the real issues - totalitarianism, the fake pandemic and the total removal of human rights in the development of mass democide and a  newworldorder

don't be distracted",fake
6148,the mural itself is legitimate. but it’s not from 1994 it’s not in the airport and it didn’t portend the coronavirus pandemic.,fake
6267,.  announced it would donate $1 billion over four years to communities of color and minority-owned businesses affected by covid-19. the bank did not pledge to contribute money directly to the black lives matter organization.,fake
1651,health officials advise everyone to follow random facebook profile for all of your coronavirus information  coronavirusoutbreak,fake
3075,video shows dead bodies lying on the beach shared with the claim that bodies of coronavirus patients are being dumped in the sea.,fake
26,_a new alcohol-free sanitizer has been developed by the dedan kimathi university in kenya._,fake
1409,new york’s coronavirus hospitalizations fall to lowest number in four months,fake
963,"we also cover the latest on vaccines developed in china, including sinovac's coronavac, cansino's ad5-ncov, the unnamed inactive vaccine from wuhan and sinopharm's bbibp-corv. russia's gam-covid-vac (sputnik v) is also covered.",fake
2551,bbmp will be spraying medicine in the air in order to kill the covid-19!!,fake
465,seen those pictures of dolphins and swans returning to venice's canals? they've been debunked today we launch coronacheck a  letter with the latest debunked covid-19 misinformation from around the world:    factcheck  coronavirusfacts  datoscoronavirus,fake
3390,"???if you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. they were very old. almost dead.??�",fake
6394,"says donald trump tweeted, ???corona vaccine from israel! stock market up! economy even stronger now! besides us, israel best at inventions judaism, olives. wonderful vaccine, will stop corona dead around world. can???t make vaccines when being bombed, not have been possible without peace i created in israel!??�",fake
1072,president trump asked to see the covid death chart.   here you go.,fake
2185,"the corona virus or covd-19 will reach any country sooner or later, and there is no doubt that many countries do not have any sophisticated diagnostic kits or equipment.
please use as much * natural vitamin c as possible * to strengthen your immune system.",fake
509,ministry of home affairs in india has directed people to not post anything related to coronavirus.,fake
2904,so did we ever investigate if corona virus originated from the wet markets or the wuhan institute of virology or have we all just forgotten about that?,fake
5901,"new york governor cuomo: 164 sudden covid deaths, bullet holes aside    newyork  corruption  newyorkcity  rackets",fake
2544,as per home ministry of india sharing information related to the coronavirus is now a punishable offense.,fake
1625,"help scientists   discover whether rinsing your nose and gargling with salt water could help reduce covid-19 symptoms &amp; reduce transmission.

if you know any adults with covid-19 symptoms in the uk please tell them about this study:",fake
1233,disney world reopens in hopes that inevitable parental deaths will inspire future films  disney  covid_19,fake
2681,from 23 march until the foreseeable future microsoft and sony will shut down their gaming servers during uk school hours.,fake
5441,"health care workers are selflessly risking their lives every day on the front lines of the fight against covid-19 — and hundreds have paid the ultimate price.

they are american heroes — and we cannot forget the sacrifices they made to care for us all.",fake
1813,sisi raised the numbers of coronavirus cases in egypt in the hope of billions from the world bank.,fake
55,president trump has been forced to wear a protective medical mask    donaldtrump  coronavirus  cia  fbi  iud,fake
1026,japanese doctors claim drinking water every 15 minutes prevents covid-19.,fake
1433,"the effects of  coronavirus on the  heart can possibly last a lifetime even in younger and healthier individuals, and there seems to be evidence that sars-cov-2 can cause  inflammation in the heart, according to two studies in jama cardiology.",fake
3332,"a video shows a mock funeral procession to ""celebrate"" indian home minister amit shah testing positive for the novel coronavirus.",fake
2988,public health authorities deploy emotionally absent fathers to teach social distancing  coronaoutbreak  covid19,fake
865,humans to be allowed out of temporary lockdown to see animals in permanent lockdown. this is best cure of covid.,fake
2800,"as the corona virus is real and afffecting people i have personally seen business the have been around for decades disappear. what more can we do with this shut down? wait until everyone is out of business? we need to open up, our lives depend on it.",fake
4753,the tabloid media's guide to coronavirus,fake
2483,imported second hand clothes from europe asia or america could spread the novel coronavirus in africa.,fake
3313,who calls for isolation of china due to the coronavirus.,fake
2242,inhaling the steam from boiled water with dissolved salt is an effective cure for covid-19 the disease caused by the novel coronavirus.,fake
2468,???go to 2020census.gov and fill out this census form so you can get your stimulus check.??�,fake
2867,coronavirus has gripped italy and nobody is willing to carry corpses off italy's streets.,fake
1706,the steam will kill the virus in our nose and throat and eradicate the coronavirus.,fake
1566,gun-toting michiganders burn witch as they protest state's coronavirus lockdown,fake
6246,death toll in wuhan due to coronavirus reaches 10000 people,fake
1289,"population of india = 135 crores *
if covid-19 if we do this testing for 10 lakh people every day, then it will take 1350 days, that is, approximately four and a half years to test 135 crore people and this much time is also enough to finish the country",fake
2809,"you can wash your hands all day long, use alcohol afterwards and protect yourself from the virus as much as you can .. then this down pointing backhand index happens at your favourite restaurant and you wonder where the covid-19 is coming from.",fake
5630,"50-year old canadian music awards show, the junos, cancelled because of coronavirus fears� - �99 % of canadians ask, ""what are the junos?""",fake
2591,survey: 43% of people working at home for the lockdown left out a gallon of milk in their cubicle    lockdown  milk,fake
5489,"russia to supply anti-covid avifavir to 17 countries.

based on the japanese drug favipiravir several countries developed covid drugs, like the japanese avigan and us/chinese remdesivir the russian avifavir.

post-registration clinical trials are complete.",fake
1754,walmart amazon kroger target and costco “have not had any reported (coronavirus) cases in the  .”,fake
4405,"old.note my views..now ramzaan time.. generally fruits like papaya,mosumbi,grape,sugandhi banana can be transport to "" corona green/safe zones like udupi, mangalore,shimoga,chikmagalur thru ksrtc/truck local mp/mlas can motivate this..selling prices/kg ..papaya 15-20,mosumbi ..2",fake
632,official data show that there were more deaths in italy in 2019 than in 2020.,fake
696,false:   mike pence's claim that oklahoma flattened the covid-19 curve. data shows that oklahoma’s daily caseload has risen consistently in june and to levels higher than at any point in the pandemic.,fake
782,covid-19 is an abbreviation for coronavirus disease 2019 the year the first case was reported. but that hasn't stopped people from sharing other fake meanings.,fake
1973,flu shots can make someone test positive for covid-19.,fake
595,republicans promise americans theirs will be the good kind of death panels  coronavirususa  notdying4wallstreet   inphoto,fake
4436,the  covid19 infodemic isn't just spreading online it's spreading offline too. fact check has become aware of a leaflet which was dropped in a melbourne mailbox containing misleading information which we've debunked:    coronavirusfacts  datoscoronavirus,fake
1208,is australia doing better on  covid19 than new zealand despite a more extreme lockdown there?    qanda  factcheck,fake
2128,a neighbor of noia (region of galicia spain) has been infected with the coronavirus.,fake
2307,image of a doctor smoking while treating covid patients in gujarat india.,fake
3173,the anhembi field hospital in são paulo brasil is empty. a video allegedly proves it.,fake
5909,trump says that as president he has “total” authority to re-open states amid the covid-19 pandemic.,fake
2381,"after donald trump says you need to ""read the books"" about coronavirus testing to properly understand the numbers, the white house reveals which book in particular",fake
1927,"free horses!!!! 52 thoroughbred horses need homes. will go to sugarcreek
this sat. for slaughter. gentleman died due to covid-19 and his son 
wants nothing to do with them.",fake
1695,woman committed suicide due to the coronavirus lockdown.,fake
4687,"a 9-minute viral video in which a woman claims india has entered stage-3 of covid-19. she claims that her husband is employed with a major  channel and the information was passed to him by some dr. gyani who heads the indian covid-19 team and asks people to stock up on food, medicines and baby food for one month. she also cautions people about the army being deployed to enforce a strict lockdown in the upcoming days.",fake
3377,as india records over 50000 new infections in the sixth consecutive day the country’s total confirmed case count stands at 18.5 lakh. union minister dharmendra pradhan and former karnataka cm siddaramaiah have tested positive for the coronavirus infection.  coronavirus,fake
3182,"in ka covid 19 cases are "" not spiking "" ..!! so   sent only 90...@ .if   needs more purchase 1210 ""cycle pimps""..!!
 i.e administration.",fake
5721,gargling salt water and vinegar will kill the virus.,fake
5092,"a friend of mine checked the back of her clorox wipes and, what do you know, the human coronavirus is listed among the things that these wipes kill. i checked our wipes and, sure enough, it is listed. so my take is, as i suspected, this is no “new virus” as the  media wants us to believe.",fake
5052,a video shows healthcare professionals in a hospital displaying hopeful message. the caption states the video was filmed at moinhos de vento hospital in porto alegre brazil and that they managed to cure all the covid-19 patients in their icu and were thus celebrating.,fake
5188,claims that who does not recommend wearing masks during covid-19 are false.,fake
4951,garlic onions and other traditional medicine recipes are treatments against the new coronavirus.,fake
1673,barack obama “is the first ex-president to ever speak against his successor.”,fake
4336,azithromycin and ivermectin are efficient medicines to cure covid-19.,fake
1844,a video clip shows the hanging bodies of a mother and child who have committed suicide in gujarat because they did not have food during the current covid-19 lockdown.,fake
2142,all deaths by respiratory failure and pneumonia are being registered as covid-19 according to the civil registry website.,fake
2474,"""there is no coronavirus pandemic there is only an epidemic of coronavirus tests"" - david crowe",fake
499,coronacheck: are victoria's recent  covid19 outbreaks related to the black lives matter protests?  qanda  factcheck    coronavirusfacts,fake
698,"staying in lockdown and adhering to social distancing guidelines isn't necessary if you are really horny, insists prof neil ferguson",fake
5402,claim: the ‘fund of funds’ part of the  covid19 stimulus will mobilise equity of ~rs 50000 crore for msmes fact: a similar fund set up in 2016 to mobilise rs 60000 crore for start-ups disbursed only 6% of planned amount,fake
3731,if you are not a carrier of the virus surgery masks should be worn inside out.,fake
887,_bill gates' coronavirus vaccine developed by oxford researchers caused all test subjects to get coronavirus._,fake
3311,donald trump will always put his wealthy and well-connected friends first — that should come as no surprise. but to allow the banks to do it on the backs of small business owners in the middle of a global pandemic is a new low — even for him.,fake
1684,israel has found a cure and a vaccine for coronavirus.,fake
3620,the (corona)virus just isn't nearly as deadly as we thought it was.,fake
4934,steam of cow urine or dung to treat covid??,fake
1505,an image shows a woman in italy clutching her 18-month-old child tightly to her chest before dying of coronavirus.,fake
6357,"a video of us president donald trump and a top us pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple facebook twitter and youtube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus covid-19 was ""ready"" to be administered.",fake
5107,non-vegetarian food (meat) consumption can lead to infection,fake
4714,the trump administration has had ???zero unfulfilled equipment and supply requests from state governors.??�,fake
4333,government announces four more weeks of lockdown for britain and 44 more weeks of lockdown for priti patel,fake
117,india has lost over 50000 individuals to coronavirus till date. in view of the rising coronavirus cases bihar government extends lockdown in the state till 6 september. at nationalist congress party chief sharad pawar’s residence four people tested positive for  coronavirus.,fake
912,fox  ... trump test positive for covid-19.,fake
5937,_the novel coronavirus has been artificially created in a laboratory._,fake
3984,i have perfect cure for coronavirus. these pigeons you find everywhere. take the pota (undigested food from the inside of the intestinal(?) sack of the pigeons) and then take the fluids from stomach membranes of three pigeons and cook both and drink that water. you will never get coronavirus.,fake
2139,"new interview tonight w/lou dobbs and dr. li-meng yan who again asserts that covid-19 is a ccp military bio-weapon manufactured in the wuhan virology institute.
she also says there are multiple strains and all were engineered gain of function viruses!",fake
2475,"coronavirus cdc patent, oct, 2019 preparedness exercise, fema prepares, bioweapon - sars, mers   *",fake
4731,_a message asking people to not get out of their homes tonight from 10pm to next day 5am because the government has made arrangements to spray medicine in the air in order to kill the novel coronavirus._,fake
6353,dhs report: china hid virus’ severity to hoard supplies  covid-19  dhsreport,fake
5757,"according to the ""plandemic"" documentary ""the flu shots contain coronavirus"".",fake
4935,outlets are misusing a boy’s image to report the same child died of covid-19 in three different countries.,fake
2868,local woman informs kids that mother’s day is going ahead despite coronavirus,fake
3262,"""a new vaccine for covid-19"" will alter a person's dna and genetically modify humans.",fake
355,"in latest move to stop coronavirus, trump urges fed to cut interest rates his heavily indebted company pays",fake
5434,with nearly 60000 new cases recorded india is inching towards 24 lakh confirmed cases soon. a supreme court panel recommended resumption of physical hearings in two or three courtrooms on a trial basis in two weeks.  covid19  coronavirus,fake
5902,???the cdc has removed the ???covid-19 pandemic??? and replaced it with ???covid-19 outbreak??? on their website. it was never a pandemic.??�,fake
2486,trumps nude statue is made in new york city because of anger by americans. trump failed to handle corona virus in usa.,fake
4916,"hot covid-19 means the ""certificate of identification of vaccination with artificial intelligence""",fake
6293,coronavirus cases reported in rome georgia.,fake
4992,"if homeopathy worked for prince charles-covid -19 we should also start looking for cures in traditional indian medicine more efficaciously. 
i appeal to   to redouble it’s efforts & incentive those indian institutions for eg.   that are doing pioneering work",fake
3780,.  says u.s. is at the top globally in covid-19 fight. it isn’t.,fake
1862,trudeau tides over nation’s sexually frustrated aunts by saying ‘moistly’  covid19  moistly,fake
1175,nobel laureate dr. honjo has claimed covid-19 virus to be man made in wuhan laboratory.,fake
3427,ca gov urges residents to panic buy and hoard    coronavirus  pandemic  governor  panicbuying  hoarding,fake
4847,what might happen to those who become long-term unemployed due to  covid19? previous experience shows that if you're out of work for more than 1 yr it's a fair call to say it reduces your chance of finding work again by 40%:    qanda  factcheck,fake
2580,mumbai's kem hospital prescribed list of medicines to self-medicate for covid-19,fake
1611,_civil services examination in india has been cancelled due to coronavirus outbreak._,fake
2452,"mumbai & pune.. 
please note..
entire mumbai and pune might be under strict military lockdown for 10 days starts from sunday from 31st may immediately .after lockdown 4.
so please stock everything especially groceries & vegetables. 
cities can be handed over to military. only milk and medicines will be allowed.
please inform all your mumbai pune friends. 
central govt. meetings are going on and total shut down of mumbai is expected to be announced anytime.",fake
2738,"covid19 obviously makes us forget  coexistence &amp;  coevolution, without  bacteria &amp;  virus we wouldn't exist &amp; won't survive. interconnectedness is essential for our wellbeing &amp; survival. without exposure  immunity cannot develop and we get weaker and weaker!",fake
6133,the covid-19 cases have reached a peak and people must not go outside even for groceries.,fake
5911,amitabh bacchan tests negative to covid-19,fake
1700,all other  suspended over coronavirus,fake
1692,pakistani doctor osama riaz's last message for you (while taking his last breath).,fake
1814,renowned cardiac surgeon dr devi shetty has issued a list of 22 suggestions to be followed for one year to protect oneself against coronavirus.,fake
771,a doctor from pune died of coronavirus and was cremated by muslims in pune,fake
6409,"if covid is so deadly i'm wondering how i did die yet. i work in critical care, we used to intubate patients in surgical masks only, did many aerosolized procedures. i'm perfectly fine not even a runny nose.",fake
2037,coronavirus cases around the world have crossed the 10 million mark and total casualties is nearing half a million. assam government has imposed a 14-day complete lockdown in guwahati.  covid_19  coronavirusfacts,fake
3340,jack-in-the-box suggests that eating their ultimate cheesburger could help fight off coronavirus germs    hamburger,fake
5072,kentucky derby will be run without jockeys at churchill downs race track on september 5 as covid-1�    kentuckyderby,fake
518,the government raided the medical city and other private hospitals taking away their personal protective equipment (ppe).,fake
4449,"as coronavirus threatens, americans glad to have strong serious leader who trusts in science at the helm",fake
5824,us hits another grim coronavirus milestone ⁦  ⁦  ⁦  ⁦  once again i will inform you that the viral infection is completely controllable with n- acetylcysteine. legal responsibility,fake
6391,"the cdc ???adjusted the us covid deaths from 153,504 to 9,210.??�",fake
2600,this uk study randomly assigned over 4600 patients with covid-19 to hydroxychloroquine treatment and a standard care. among the hydroxy treatment group 25.7% died compared with 23.5% for the standard care group. that was not statistically different.,fake
1246,jamal khashoggi died from coronavirus - saudi arabia    donaldtrump  coronavirus  saudiarabia  jamalkhashoggi,fake
5220,positivity rate shows herd immuntiy has been reached.,fake
2539,ted kaczynski finds rebirth and new relevance in shadow of coronavirus pandemic    coronavirus  covid19  online,fake
92,claim that the jordanian health minister says covid-19 is a conspiracy in a video.,fake
6369,dr. fauci: paint gums of covid-19 carriers purple and give them a laxative    donaldtrump  coronavirus  andywarhol,fake
1479,"covid-19 appointed housing minister after freezing rents, evictions &amp; securing beds for homeless",fake
1713,hotels to remain closed in india till 15 october 2020.,fake
4874,lately with protests continuing to flare nightly in portland politifact has been seeing lots of claims that black lives matter protests are antifa anarchists covid-19 spreaders and now “marxist.”,fake
4740,"those coronavirus patients,,whose stomach is ok,, should be given coronil vati...
those patients,who have stomach problems should be given ghiya,tori,roti only.. and if stomach become ok,,then coronilvati..
allow me,to speak to doctors.
casualty willbe low..",fake
3399,colorado’s marijuana shops are  sales records    coronavirus  marijuana  colorado  potsales,fake
1859,_coronavirus discovered in broiler chicken._,fake
2540,scientists urged to divert attention away from coronavirus vaccine to create pillow that stays cool all night,fake
2115,claim: india began screening travelers from  covid19-affected nations before it had a single case: pm modi fact: 20 countries had cases by january 30 when india reported first case. yet india was screening travelers only from china hong kong,fake
1487,"ground report 
now   ji please tell us what is this? why they have suffer? why?
 delhi  delhifightscorona  arvindkejriwal",fake
1015,video shows gujarat police asking money (bribe) from migrants walking on railway tracks amidst nationwide covid-19 lockdown.,fake
5977,57 people died due to covid-19 deaths and 5731 people infected because of comedk exams in karnataka,fake
2684,"i promise one thing on behalf of   in a decade, missionaries in bharat will face what spitters face in corona crisis. and west (including arab world) will find peace in chanting gayatri mantra.",fake
3079,sanitary technicians are going to inspect houses and seize cash.,fake
3697,nurse danielle dicenso died of covid-19 at the age of 33 after being exposed to the virus at the hospital where she worked in florida.,fake
5539,the newly developed coronavirus whistling test works like a charm    coronavirus  disease  norway  c19  oslo,fake
6212,trump ignored coronavirus but tear-gassed portland's mayor    oregon  portland  ghislainemaxwell,fake
5689,"extremely good  ': bendigo hits covid-zero, but out-of-area patient in hospital",fake
5672,99% of all covid-19 patients in itaperuna rio de janeiro state have been cured after being treated with chloroquine.,fake
2593,"local woman lowers 'live laugh love' poster to half-mast

   coronavirus  covid19  staystrong",fake
3603,doctors recommend vitamin c and fennel seed tea to help avoid the novel coronavirus.,fake
4108,cuba has developed a vaccine against coronavirus.,fake
1608,donald trump said brazil is the only country in which the supreme court is hampering the national government's ability to deal with covid-19. also he criticized brazilian state governors.,fake
2745,"according to the new york times, us ballistic-missile submarine uss tennessee has eight confirmed cases. since the submarine was on a mission for 119 days, it indicated that the virus was originated from the us.",fake
2371,"self-quarantined workforce discovers 95% of all jobs could have just been an e-mail

   covid-19  coronavirus  workfromhome",fake
3720,a tweet from donald trump in 2009 said that he would 'never let thousands of americans die from a pandemic'.,fake
4153,americans on lockdown across the country arrange synchronised applause for the insurance executives they hope will let them get treatment if they get sick,fake
6138,rt   bryan steil says wi has only spent 3.8% of the coronavirus funding allocated by the federal government. that's half tru…,fake
948,"during lock down period such a fantastic natural scenery on sea beach near chandrabhaga, puri to konark marine drive road",fake
5230,there are sterilization agents in the covid vax which can cause sterility not only in the patient but also in the sexual partners of people who have taken the shot,fake
2785,it is right method to treat educated idiots...they should do this yoga till 12.00 noon..1).because of these idiots covid 19 victims crossed 12k.2).non availability of mass testing kits..we may see above 20k soon..,fake
2925,"we’re in the middle of a global pandemic, and the trump administration is trying to prevent people from getting health care.",fake
5431,"“60 days into the coronavirus crisis, the white house does not have a plan, a framework, a philosophy, or a goal.”

real presidents lead. reality tv presidents don’t.",fake
2878,"this is rahul gandhi & priyanka gandhi  lock-down regulations saying they need to visit friends. on meerut road, near mohoddin pur, before muradnagar nahar",fake
1896,mine phone sayardaw predicted that covid-19 infections could exceed 100 million worldwide.,fake
3451,"""93% of the (covid-19) cases in the state of illinois have come from chicago.""",fake
4986,tanzania has developed a coronavirus drug called covidol that can cure covid-19.,fake
2412,"trump claims ""it is the decision of the president"" not governors to ""open up the states.""",fake
5208,a video of a  report claiming whatsapp is going to be suspended in brazil. on the caption it is stated that the suspension is going to take place because of misinformation regarding covid-19.,fake
2317,audio message warns of the arrival of covid-19 at suba hospital in columbia.,fake
2594,anthony fauci was on the clinton foundation board for 20 years and ???currently serves on gates foundation.??�,fake
3847,local man keeps sharing important looking covid-19 graphs he doesn’t understand,fake
2213,pigs are being burned alive in china to control the coronavirus.,fake
6195,"i love this from   : ""safe"" is very unsafe increasing covid deaths by 5x or more? why physicians should understand probability and risk/reward and ""kill people"". i have long argued the hippocratic oath is mathematically wrong!",fake
2025,cdc assures americans that lessons they’re learning from covid-19 will serve them well in next pande�    coronavirus,fake
4236,"the science behind easing lockdown explained, by a doctor out of his mind on ketamine",fake
3158,coronation street characters to be shown starving to death as brexit ad campaign uses product placement,fake
5801,upside to covid-19: pension funds solvent!,fake
4631,tweet by assam health minister himanta biswa sarma regarding newly found covid-19 positive cases.,fake
5147,a video claims italy discovered that covid-19 is bacteria not a virus,fake
3087,"??�america has been vaccinating cattle for coronavirus for years, yet the  tells you it???s new and gunna kill you all so go buy mask.??�",fake
4021,???bill gates says you don't have a choice to be vaccinated or not.??�,fake
336,aiims (indian medical institute) team has said that toddy has medicinal properties to cure coronavirus.,fake
3684,children are silent super-spreaders of coronavirus.,fake
862,video shows doctors and nurses turning their back to the health ministry of spain as he arrives to a hospital.,fake
1507,"_claim that there have been tanks in the capital of latvia riga ""while people are staying home.""_",fake
5520,protective masks will be five time more expensive in french tobacconists than in spanish shops.,fake
400,"iranian islamic medicine 'specialist' claims camel urine cures coronavirus infections iran"". arab",fake
5127,"says president donald trump will announce that a scientist ""finally found vaccine to cure corona virus.""",fake
5122,italian president breaks down and surrenders because of the covid-19 epidemic.,fake
5033,we will not allow this pandemic to rob our young people of the futures and the economic opportunities they have been working to build.,fake
1914,"""as ny continues to fight the pandemic, we want to make sure nyers still struggling financially will not be forced from their homes as a result of covid,” cuomo said.
when snow's on the ground ok to evict?",fake
399,the governor of sao paulo contracted covid-19 after being vaccinated with the sinovac biotech vaccine.,fake
2980,diary of someone with covid-19 in self-isolation,fake
5237,???joe exotic tests positive for coronavirus in prison. it???s been confirmed.??�,fake
2934,france needs tests for its population; however paris sent tests to algeria.,fake
6142,says certain states are banning the sale of alcohol.,fake
260,with 10576 new infections maharashtra records highest single-day spike in the state so far. starting 2pm tomorrow manipur to go under a complete lockdown for 14 days. bhopal in madhya pradesh to impose a city-wide lockdown from july 24 to august 3.  covid19  coronavirusfacts,fake
2009,a claim has been shared repeatedly in multiple facebook whatsapp and twitter posts that the indian government has outlawed social media posts about the novel coronavirus pandemic through a piece of national legislation called the disaster management act.,fake
4425,qq instant messaging announced the real death toll is 25000.,fake
2303,"when will  covid19 end?
data-driven prediction of covid-19 pandemic end dates by singapore univeristy of trchnology &amp; design.
   covid_19  covidー19  covid19pakistan",fake
2751,a graphic of zee  tv channels claims that the home ministry of india has hinted at a complete lockdown in the country after 15 june. railway and airway will come to a halt.,fake
6248,covid19  coronavirus  coronavirus why would bill gates patent the coronavirus itself ?!?,fake
3696,a female doctor in uttar pradesh died after being injured during stone pelting by local muslims who refused to be screened for covid-19.,fake
3128,a whole floor of the main peruvian hospital is infected with covid-19 and they decided to close the place.,fake
4996,a hairstylist in iowa exposes 317 clients to the coronavirus    coronavirus  hairstylist  placebopills,fake
4130,"a message asked people not to eat bakery food as it is not washable even if infected from the coronavirus, using a logo of the who.",fake
4866,"18 nations including usa and uk wants 
  as leader for task force for corona..what a proud moment for india.. let's support our great leader and we will definitely
win the war against corona.",fake
4968,priyanka gandhi has started buses to help migrants travel during the covid-19 lockdown.,fake
2094,"barack obama is the first ex-president to ever speak against his successor.barack hussain obama is the first ex-president to ever speak against his successor, which was long tradition of decorum and decency.
should anyone really be surprised?

 trumpsjealousofobama? i seriously doubt it...

 obamagate  maga
 kag  fox",fake
2497,"says ceos got advance notice of covid, then resigned to dump stock.",fake
1056,uganda has postponed general elections due to covid-19.,fake
4572,“msnbc actually said on air ‘i hope enough people die from coronavirus that it harms trump’s re-election.’”,fake
461,all vegetarian sanatan dharmis only need little care about social distancing and enjoy long healthy life.,fake
1662,india's main opposition party (congress) general secretary priyanka gandhi arranged 1000 buses to take home the migrants stuck in the state of uttar pradesh.,fake
5233,"nba: drug testing, groupies, and the bubble    drugs  coronavirus  nba  groupies  orlando",fake
1002,dr anthony fauci said a covid-19 vaccine must be delivered to people without 'proper studies' being carried out.,fake
2301,says the nba is asking donald trump to ???resign or we???ll never play again.??�,fake
84,seasonal influenza vaccination will be mandatory in georgia this fall. covid-19 mortality rates are significantly lower than the fatalities caused by other viruses.,fake
4937,man has really let himself go    coronavirus  lockdown  tramps,fake
5542,posts shared on facebook and whatsapp claim a south african hospital found that traces of the novel coronavirus had survived on the surface of fresh food items for 12 hours during lab tests.,fake
4997,japanese nobel laureate tasuku honjo who worked in wuhan for four years claimed that sars-cov-2 was human-made.,fake
4000,the indian home ministry considers posting anything about coronavirus a punishable offence.,fake
692,all passenger/express / other trains cancelled till september 30th due to corona epidemic. the railway extends cancellation of all passenger/express / suburban trains till september 30 in the wake of covid pandemic.,fake
720,bhutan has zero covid-19 cases thanks to its vegetarian diet.,fake
2083,"""the president looks like he was ahead of the curve – as you know he talks about this all the time – on shutting down travel from china.""",fake
5558,a volunteer for coronavac a chinese vaccine against covid-19 being tested in brazil reported severe fevers in a story published by marie claire magazine.,fake
1495,“i've always known this is a real this is a pandemic. i've felt it was a pandemic long before it was called a pandemic.”,fake
3891,a video has been viewed hundreds of thousands of times in multiple facebook posts which claim it shows two italian doctors who contracted novel coronavirus which causes the disease covid-19 while treating patients.,fake
648,the image shows covid-19 patients and the state of coronavirus isolation ward in pakistan.,fake
