tweet,label
شيء غريب فعلا  روائي أمريكي شهير يكتب قبل ٣٩ عاما رواية عنوانها ، عيون الظلام، عن فيروس طوره الجيش الصيني في مدينة  ووهان لإستخدامه كسلاح بيولوجي ضد البشر، والأحداث تتطابق مع  كورونا   كوفيد_19,fake
ca gov urges residents to panic buy and hoard    coronavirus  pandemic  governor  panicbuying  hoarding,fake
dozens killed in stampede at a church in nigeria,real
منظمو مظاهرات باريس يطلبون من المتظاهرين في ساحة الجمهورية المغادرة ويعتبرون أن المواجهات الجارية لا تمثلهم,real
"‘left no other option’: excerpts of putin’s speech declaring war

live  s:",real
qaddafi jr. in his father's shoes - caricature by loai hazem,satire
tide unveils new guy who will lick stains off you,satire
"if homeopathy worked for prince charles-covid -19 we should also start looking for cures in traditional indian medicine more efficaciously. 
i appeal to   to redouble it’s efforts & incentive those indian institutions for eg.   that are doing pioneering work",fake
24-year-old receives sage counsel from venerable 27-year-old,satire
area man considers self ally to women unless they threaten his status in literally any way,satire
nigeria election 2023 live: nation poised for presidential vote,real
كثروا ثوم وبصل واموركم طيييبه!  كورونا,fake
hollywood’s biggest stars explain why the oscars are still relevant,satire
"putin slams sanctions as ‘illegitimate’ 

all the latest  s:",real
what fox  anchors said privately about trump’s election lies,satire
.  has shifted his focus at different moments in the  coronavirusoutbreak. we  d our running timeline of his response to the virus.   reply to us with any recent trump moments you think belong on this running list.,fake
a video of nairobi governor mike sonko claiming the world health organization (who) recommends drinking alcohol to help prevent the new coronavirus is circulating online.,fake
الاتحاد الأوروبي يقرر ضم المغرب بصفة عضو مراقب للحدود,satire
president trump claims the virus is under control and testing is available.,fake
"covid-19 appointed housing minister after freezing rents, evictions &amp; securing beds for homeless",fake
drinking pigeon membrane slurry can cure covid-19.,fake
بوتين: أطلب من وزارة الدفاع تحليل تجربة وتكتيك النيتو وإدخالها في برنامج إعداد القوات وتسليح الجيش,real
عدسة الحدود ترصد قيس سعيد خارجا من محكمة,satire
area man having one of his little bursts of energy where he tries to write a song,satire
???putin has stated russian citizens (have) 2 options stay home for 15 days or in jail for 5 years.??�,fake
"تقدم ملحوظ في مفاوضات صياغة الدستور السوري الجديد بحسب ما أورده مراسل الحدود من المستقبل البعيد جدا
 سوريا",satire
"macron warns against defaming sacred symbols of secularism, such as himself",satire
it’s sad to think that this country may be so backwards that there are some people who don’t even consider this a possibility.,satire
"“we are also using miniature versions of the suspension and shock absorbers used on airplanes to deal with any major potholes,” the spokesman said.",satire
"belarusian forces not taking part in invasion, lukashenko claims

live  s:",real
un seeks $1.7 bn in humanitarian aid for ukraine.,real
football player cristiano ronaldo turned all his hotels into hospitals to help coronavirus patients and is paying doctors and the staff.,fake
"gondoliers gasp, flop uncontrollably after venice canals drained from drought",satire
الجزيرة تغلق ملف خاشقجي وتدعو له بالرحمة,satire
white house press secretary kayleigh mcenany said donald trump never downplayed the coronavirus. that's hard to argue when he said — on tape — that he did. pants on fire.,fake
pornhub announces contest to allow one user under 18 to view content,satire
fda rules any white liquid can be called milk,satire
gun-toting michiganders burn witch as they protest state's coronavirus lockdown,fake
there are 59 positive coronavirus cases in nagpur along with three doctors one of whom is on ventilator.,fake
الفرق بينك وبين الي معه كورونا انه هو عمل فحص وانت لا,fake
الحمدلله على كل حال  القناه الإسرائيليه الثانيه عشر 12.  تؤكد اصابة ولي عهد أبوظبي محمد بن زايد بفايروس كورونا عن طريق الخادمه  الفلبينيه في قصره.  عقبال اللي خالطوه امثال المزروعي وضاحي خلفان و ولد رشود صالونه.   الامارات   كورونا   كورونا_الجديد,fake
عشر سنوات من انتعاش السياحة القتالية في سوريا,satire
السلطة الفلسطينية ترد بسرعة وقوة على اغتيال شباب فتح وتزيل أعلام حماس من جنازتهم,satire
study: more parents opting for one big baby over multi-child household,satire
باولو ديبالا هو ثاني لاعب في الدوري الإيطالي يعاني من فيروس كورونا,fake
a biomedical researcher with 12 years of laboratory experience debunks the established conclusions about the covid-19 pandemic.,fake
"underrated supplement: acetylcysteine, nac, acc 

it liquefies mucus. may help with colds, maybe also with covid

can help with prostatitis bc it liquefies prostata fluids too

there is evidence that it protects the liver &amp; kidneys

off-label use: depression, anxiety",fake
chimp anxious over possibility of ape to human evolution,satire
هرتزوغ يهدي ملك البحرين بروازا فيه صورة للفلسطينيين الذين قتلهم الجيش الإسرائيلي منذ التطبيع لغاية اللحظة,satire
"“while we appreciate the many javelin anti-aircraft systems and artillery, none of them were signed by one of the best nba centers of all time, the big shamrock himself,” said zelensky.",satire
"russian president putin says moscow's military action in ukraine was a pre-emptive move to ward off western aggression

follow all the latest  s:",real
السعودية - ابن سلمان لن يسمح لبابا نويل بمغادرة المملكة بعد انتهاء مهمته، خاصة عقب اطلاعه على أسرار الدولة ومستقبلها ومعرفته للأطفال الذين ستتم تصفيتهم مستقبلا بناء على أمنياتهم.,satire
report: 50% of heaven’s population just assholes who begged for forgiveness at last second,satire
new york’s coronavirus hospitalizations fall to lowest number in four months,fake
الكرملين: لدى روسيا وتركيا بعض الخلافات حول  سوريا لكن مستوى العلاقات بين البلدين يسمح بحلها من خلال المحادثات,real
fourth-grader’s report on anacondas largely rehashes established research,satire
"russia, ukraine trade blame for attacks near nuclear plant amid un visit",real
ski resort increases black diamond difficulty by placing snipers along trail,satire
"to see more unmatched reporting, subscribe to our  letter.",satire
الدبيبة وباشاغا ينعشان آمال الشعب الليبي بتغيير الوضع الراهن والعودة إلى نقطة الصفر,satire
palestinian probe says israeli forces deliberately shot abu akleh,real
الهروله إلى جهنم و بئس المصير ! عملية زراعة الشريحه الالكترونيه تحت الجلد و التي هي بحجم حبة الارز نوع بسمتي . الكلام يدور حاليا أن اللقاح الذي سوف يقوم بإنتاجه السيد بيل غيتس سوف يحتوي على مثل هذه الشريحة  ! ⁦⁩  فلسطين   العراق  تونس  اليمن  الجزائر   السعودية   الكورونا,fake
the onion: now on another part of your phone. follow us on tiktok.,satire
وزير الدفاع التركي: يمكن تقديم مساهمات جادة لإحلال السلام في  سوريا والمنطقة عبر الجهود التي ستبذل قريبا,real
الصين: المدخنين هم الأكثر تشافي من مرض كورونا,fake
irish  organisations are organising a collective moment of applause for the government to praise its work in handling the coronavirus pandemic.,fake
us imposes strict sanctions on russia so putin will learn a lesson by watching his people suffer,satire
"says ceos got advance notice of covid, then resigned to dump stock.",fake
"soon 67
never had flu vaccine, never had flu
most all i know who got flu vaccine also got flu
that’s 1st person knowledge, not conjecture

alt: organic dk greens, protein, exercise, h2o, sodium bicarbonate, d3, c, iodine, etc

jesus is my physician
greatest ever was, is, will be",fake
world cup 2022 live: qatar prepares for historic kickoff,real
"mask wearers beware. a caller to a radio talk show recently shared that his wife was hospitalized and told she had covid and only a couple of days left to live. a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long. turns out it was legionnaires disease from the moisture and bacteria in her mask. she was given antibiotics and within two days was better. what if these ""spikes"" in covid are really something else due to mask-wearing?? copied and pasted - and checked - it's true!",fake
مجلس النواب الأمريكي يعلق أعماله إلى منتصف الخميس لانتخاب رئيس جديد له بعد إخفاقه في ست جولات سابقة,real
أنباء عن وفاة طفل  فيروس_كورونا في مشفى  المجتهد في  دمشق حسب مصادر اعلامية,fake
العالم: الأسد بريء حتى نجد من تبقى من الشهود لتثبت إدانته,satire
"there's now 3 different  coronavirus vaccines undergoing clinical trials in russia.

(i am the ~500th person who's tested gam-covid-vac).",fake
couple’s fucked-up presex ritual involves tucking both kids into bed,satire
fox  ... trump test positive for covid-19.,fake
former filipino senator antonio trillanes iv said president rodrigo duterte created covid-19 together with china.,fake
israeli set for november election as parliament dissolves,real
بيل جيتس يتوقع ٧٠٠٠٠٠ ضحية نتيجة لقاح كورونا,fake
"acceptance speeches are a cornerstone of the academy awards ceremony and have provided their share of tears, laughter, and controversy over the years. the onion looks back at the most memorable oscars acceptance speeches of all time.",satire
مبعوث الكرملين إلى  سوريا: موسكو تعمل على عقد لقاء رئاسي بين  تركيا وسوريا في روسيا,real
uk pm johnson admits to attending lockdown gathering,real
"إيطاليا تفقد السيطرة كليا عن إحتواء الفيروس ورئيس الوزراء يقول : "" إنتهت حلول الأرض  الأمر متروك للسماء ""  كورونا  كورونا_الجديد",fake
هل أعجبت بمدى تفاني أحد الكتاب (أو حتى أحد رسامي الكاريكاتير) في التطبيل والتملق؟ ساعدنا في إيجاد  صرة_الدنانير الثمينة التي نبحث عنها بمشاركة الرابط مع وسم  جحصع,satire
differentiating between communism and putin: alhudood’s guide for leftist comrades,satire
most controversial statements by cpac speakers,satire
a covid-19 patient was caught by the police in the gorakhpur district in the state of uttar pradesh india.,fake
"president zelenskyy says the next 24 hours are “crucial"" as russia's invasion of ukraine enters fifth day. get all latest  s:",real
jimmy carter beginning to worry that he will never die,satire
ايران_تصدر_كورونا_للخليج  الخونة اللي سافروا إيران بدون علم الحكومة يجب أن ينالوا أقسى العقوبات لأنهم خطر يهدد الأمن القومي للمملكة,fake
all vegetarian sanatan dharmis only need little care about social distancing and enjoy long healthy life.,fake
إسرائيل تهدد بوضع النمسا على قائمة الإرهاب إن استضافت مسؤولين إيرانيين في مباحثات فيينا بشأن الملف النووي الإيراني,satire
"ukraine says seven humanitarian corridors will open on sunday.

follow the latest  s:",real
شاب يفر من منزل العائلة ويتقدم بطلب هجرة بعد كسره فنجانا من الطقم الصيني,satire
وزير الخارجية الأمريكي: بريتني غرينر في طريقها إلى منزلها بعد أشهر من الاعتقال غير المشروع في روسيا,real
germany wins israeli endowment to repress palestinians abroad,satire
a hairstylist in iowa exposes 317 clients to the coronavirus    coronavirus  hairstylist  placebopills,fake
وسائل إعلام أمريكية: فوز الديمقراطي رفائيل وارنوك في جولة الإعادة لانتخابات مجلس الشيوخ عن جورجيا,real
former south africa president de klerk dies at age 85,real
-حسن: سنوصي باقفال عام لمدة 15 يوما في حال كان التقييم لأيام الاقفال سلبيا.  EDEN BAY عم يضحك بالزاوية على هيدا القرار قبل ما يطلع!         لا_داعي_للهلع  سنموت_بعد_قليل  كورونا_لبنان  منظمة_الصحة_العالمية  فيروس_كورونا,fake
g20  g20saudiarabia  g20riyadhsummit,satire
الثوم والشفاء من فيروس كورونا بإذن الله,fake
saudi arabia-led consortium completes newcastle united takeover,real
new: you may have noticed there are new settings on your phone for tracking covid-19. what’s that all about? not an unauthorized surveillance plot as one popular social media rumor suggests.,fake
"“60 days into the coronavirus crisis, the white house does not have a plan, a framework, a philosophy, or a goal.”

real presidents lead. reality tv presidents don’t.",fake
"the logo of a covid-19 testing facility depicts anubis, the egyptian god of death.",fake
"rt   thread 

48 bullets in two minutes.

in 2017, a gunman killed six people at a quebec city mosque. five years on, the attac…",real
money was taken from hospitals to finance cultural projects in brazil.,fake
